Mate height,Height,Gender
73,67,0
64,71,1
70,72,1
73,68,0
62,67,1
,55,1
51,55,1
66,72,1
69,62,0
61,58,1
66,63,0
65,59,0
72,66,0
70,70,0
72,67,0
61,67,1
64,71,1
65,71,1
68,71,1
69,66,1
70,63,0
64,68,1
65,76,1
,64,0
69,60,0
73,64,0
70,74,1
,,
65,60,0
75,69,0
68,70,1
70,66,0
69,71,1
66,72,1
69,71,1
76,68,0
64,72,1
67,72,1
70,63,0
70,63,0
68,72,1
72,67,0
63,68,1
76,68,0
63,70,1
72,64,0
72,74,1
64,70,1
70,67,0
,72,1
65,73,1
71,64,0
70,63,0
65,69,1
78,66,0
66,69,1
67,71,1
64,68,1
66,71,1
72,76,1
70,65,0
72,66,0
66,73,1
65,69,1
73,66,0
72,70,0
64,67,1
62,64,1
74,67,0
,,
70,74,1
73,67,0
67,72,1
69,75,1
67,71,1
69,77,1
65,73,1
70,74,1
77,70,0
70,63,0
72,65,0
62,73,1
67,71,1
63,68,1
71,67,0
65,70,1
66,69,1
61,63,1
,,
72,70,1
72,70,1
71,68,0
73,66,0
72,64,0
72,64,0
74,62,0
66,62,0
70,71,1
71,71,0
72,72,1
74,67,0
75,67,0
69,65,0
72,67,0
60,67,1
72,64,0
62,68,1
70,75,1
72,69,0
67,70,1
63,68,1
65,69,1
74,67,0
73,66,0
71,67,1
72,72,1
,,
74,67,0
72,66,0
75,63,1
69,71,1
47,48,0
,73,1
62,74,1
62,70,1
70,76,1
70,70,0
70,62,0
70,76,1
70,65,0
61,73,1
67,72,1
68,68,0
67,71,1
64,67,1
62,70,1
76,70,0
62,71,1
63,70,1
65,71,1
67,65,0
72,48,1
69,67,0
68,72,1
72,61,0
72,69,0
70,63,0
84,64,0
66,68,1
,69,0
,69,0
72,78,1
67,69,1
72,64,0
73,66,0
,70,1
67,71,1
76,70,0
70,63,0
73,66,0
65,60,0
72,64,0
67,60,0
65,72,1
74,68,0
70,67,0
64,67,1
67,69,1
65,70,1
71,64,0
75,79,1
65,74,1
72,70,0
69,72,1
64,67,1
66,71,1
65,68,1
63,73,1
76,68,0
69,63,0
65,69,1
64,68,1
68,62,0
68,60,0
61,64,1
64,73,1
61,72,1
66,70,1
71,62,0
70,63,0
64,68,1
69,69,1
61,59,1
66,71,1
66,72,1
64,69,1
63,71,1
56,61,1
72,68,0
68,72,1
70,76,1
72,64,0
66,66,1
,68,1
68,68,1
68,74,1
70,73,1
65,73,1
65,70,1
68,71,1
72,67,1
69,63,0
71,72,1
65,66,1
69,72,1
72,62,0
69,66,0
71,63,0
60,64,1
71,66,0
70,73,1
68,70,1
69,63,0
65,71,1
69,75,1
70,74,1
72,70,0
65,67,1
67,60,0
70,60,0
71,65,0
67,76,1
65,72,1
72,67,0
70,70,1
70,66,0
74,68,0
62,68,1
63,64,0
70,64,0
74,69,0
76,69,0
70,73,1
63,67,1
72,62,0
68,74,1
72,55,0
72,66,0
74,69,0
73,65,0
73,62,0
64,70,1
68,71,1
69,67,0
72,62,0
70,62,0
68,68,1
78,66,0
69,71,1
69,63,0
72,63,0
72,60,0
67,72,1
63,66,1
63,67,1
74,67,0
