"","hours","ages"
"1",0,14
"2",0,14
"3",0,14
"4",0,14
"5",0,14
"6",0,14
"7",0,14
"8",0,14
"9",0,14
"10",0,14
"11",0,14
"12",0,14
"13",1,14
"14",1,14
"15",1,14
"16",1,14
"17",1,14
"18",1,14
"19",1,14
"20",1,14
"21",1,14
"22",1,14
"23",1,14
"24",1,14
"25",1,14
"26",1,14
"27",1,14
"28",1,14
"29",1,14
"30",1,14
"31",1,14
"32",1,14
"33",1,14
"34",1,14
"35",1,14
"36",1,14
"37",1,14
"38",1,14
"39",1,14
"40",1,14
"41",1,14
"42",1,14
"43",1,14
"44",1,14
"45",1,14
"46",1,14
"47",0,15
"48",0,15
"49",0,15
"50",0,15
"51",0,15
"52",0,15
"53",0,15
"54",0,15
"55",0,15
"56",0,15
"57",0,15
"58",0,15
"59",0,15
"60",0,15
"61",0,15
"62",0,15
"63",0,15
"64",0,15
"65",0,15
"66",0,15
"67",0,15
"68",0,15
"69",0,15
"70",0,15
"71",0,15
"72",0,15
"73",0,15
"74",0,15
"75",0,15
"76",0,15
"77",0,15
"78",0,15
"79",0,15
"80",0,15
"81",0,15
"82",1,15
"83",1,15
"84",1,15
"85",1,15
"86",1,15
"87",1,15
"88",1,15
"89",1,15
"90",1,15
"91",1,15
"92",1,15
"93",1,15
"94",1,15
"95",1,15
"96",1,15
"97",1,15
"98",1,15
"99",1,15
"100",1,15
"101",1,15
"102",1,15
"103",1,15
"104",1,15
"105",1,15
"106",1,15
"107",1,15
"108",1,15
"109",1,15
"110",1,15
"111",1,15
"112",1,15
"113",1,15
"114",1,15
"115",1,15
"116",1,15
"117",1,15
"118",1,15
"119",1,15
"120",1,15
"121",1,15
"122",1,15
"123",1,15
"124",1,15
"125",1,15
"126",1,15
"127",1,15
"128",1,15
"129",1,15
"130",1,15
"131",1,15
"132",1,15
"133",1,15
"134",1,15
"135",1,15
"136",1,15
"137",1,15
"138",1,15
"139",1,15
"140",1,15
"141",1,15
"142",1,15
"143",1,15
"144",1,15
"145",1,15
"146",1,15
"147",1,15
"148",1,15
"149",1,15
"150",1,15
"151",1,15
"152",1,15
"153",1,15
"154",1,15
"155",1,15
"156",1,15
"157",1,15
"158",1,15
"159",1,15
"160",1,15
"161",0,16
"162",0,16
"163",0,16
"164",0,16
"165",0,16
"166",0,16
"167",0,16
"168",0,16
"169",0,16
"170",0,16
"171",0,16
"172",0,16
"173",0,16
"174",0,16
"175",0,16
"176",0,16
"177",0,16
"178",0,16
"179",0,16
"180",0,16
"181",0,16
"182",0,16
"183",0,16
"184",0,16
"185",0,16
"186",0,16
"187",0,16
"188",0,16
"189",0,16
"190",0,16
"191",0,16
"192",0,16
"193",0,16
"194",0,16
"195",0,16
"196",0,16
"197",0,16
"198",1,16
"199",1,16
"200",1,16
"201",1,16
"202",1,16
"203",1,16
"204",1,16
"205",1,16
